R8585230,文化、体育和娱乐业,新闻和出版业,期刊 
R8585240,文化、体育和娱乐业,新闻和出版业,音像制品 
R8585250,文化、体育和娱乐业,新闻和出版业,电子出版物 
R8585290,文化、体育和娱乐业,新闻和出版业,其他  
R8686100,文化、体育和娱乐业,广播、电视、电影和影视录音制作业,广播
R8686200,文化、体育和娱乐业,广播、电视、电影和影视录音制作业,电视
R8686300,文化、体育和娱乐业,广播、电视、电影和影视录音制作业,"电影,影视节目制作"
R8686400,文化、体育和娱乐业,广播、电视、电影和影视录音制作业,"电影,影视节目发行"
R8686500,文化、体育和娱乐业,广播、电视、电影和影视录音制作业,电影放映
R8686600,文化、体育和娱乐业,广播、电视、电影和影视录音制作业,录音制作
R8787100,文化、体育和娱乐业,文化艺术业,文艺创作
R8787101,文化、体育和娱乐业,文化艺术业,表演
R8787200,文化、体育和娱乐业,文化艺术业,艺术表演场馆
R8787310,文化、体育和娱乐业,文化艺术业,图书馆
R8787320,文化、体育和娱乐业,文化艺术业,档案馆
R8787400,文化、体育和娱乐业,文化艺术业,非物质文化遗产保护
R8787401,文化、体育和娱乐业,文化艺术业,文物保护
R8787500,文化、体育和娱乐业,文化艺术业,博物馆
R8787600,文化、体育和娱乐业,文化艺术业,烈士陵园
R8787601,文化、体育和娱乐业,文化艺术业,纪念馆
R8787700,文化、体育和娱乐业,文化艺术业,群众文化 
R8787900,文化、体育和娱乐业,文化艺术业,其他文化艺术 
R8888100,文化、体育和娱乐业,体育,体育组织
R8888200,文化、体育和娱乐业,体育,体育场馆
R8888300,文化、体育和娱乐业,体育,休闲健身 
R8888900,文化、体育和娱乐业,体育,其他体育
R8989110,文化、体育和娱乐业,娱乐,歌舞厅娱乐 
R8989120,文化、体育和娱乐业,娱乐,电子游艺厅娱乐 
R8989130,文化、体育和娱乐业,娱乐,网吧 
R8989190,文化、体育和娱乐业,娱乐,其他室内娱乐 
R8989200,文化、体育和娱乐业,娱乐,游乐园
R8989300,文化、体育和娱乐业,娱乐,彩票 
R8989410,文化、体育和娱乐业,娱乐,文化娱乐经纪人
R8989420,文化、体育和娱乐业,娱乐,体育经纪人
R8989490,文化、体育和娱乐业,娱乐,其他文化艺术经纪代理
R8989900,文化、体育和娱乐业,娱乐,其他娱乐 
